allocated_memory_MB,total_memory_MB,milliseconds
256.0,4057.0,1645998354392
256.0,4048.0,1645998354420
256.0,4039.0,1645998354432
256.0,4053.0,1645998354447
256.0,4044.0,1645998354454
256.0,4035.0,1645998354462
256.0,4027.0,1645998354470
256.0,4056.0,1645998354481
256.0,4047.0,1645998354488
256.0,4038.0,1645998354496
256.0,4030.0,1645998354503
256.0,4021.0,1645998354510
256.0,4013.0,1645998354518
256.0,4004.0,1645998354528
256.0,3995.0,1645998354538
256.0,3987.0,1645998354548
256.0,3978.0,1645998354558
256.0,3969.0,1645998354569
256.0,3961.0,1645998354580
256.0,3952.0,1645998354590
256.0,3943.0,1645998354601
256.0,3935.0,1645998354612
256.0,3926.0,1645998354622
256.0,3918.0,1645998354632
256.0,4057.0,1645998354645
256.0,4048.0,1645998354652
256.0,4040.0,1645998354659
256.0,4031.0,1645998354666
256.0,4022.0,1645998354673
256.0,4014.0,1645998354680
256.0,4005.0,1645998354687
256.0,3997.0,1645998354694
256.0,3988.0,1645998354701
256.0,3979.0,1645998354709
256.0,3971.0,1645998354716
256.0,3962.0,1645998354723
256.0,3953.0,1645998354730
256.0,3945.0,1645998354737
256.0,3936.0,1645998354744
256.0,3928.0,1645998354751
256.0,3919.0,1645998354758
256.0,3910.0,1645998354765
512.0,4050.0,1645998354778
512.0,4041.0,1645998354788
512.0,4033.0,1645998354799
512.0,4024.0,1645998354808
512.0,4014.0,1645998354819
512.0,4006.0,1645998354830
512.0,3997.0,1645998354841
512.0,3989.0,1645998354851
512.0,3980.0,1645998354861
512.0,3971.0,1645998354872
512.0,3963.0,1645998354882
512.0,3954.0,1645998354891
512.0,3945.0,1645998354902
512.0,3937.0,1645998354911
512.0,3928.0,1645998354921
512.0,3920.0,1645998354933
512.0,3911.0,1645998354943
512.0,3902.0,1645998354953
512.0,3894.0,1645998354963
512.0,3885.0,1645998354973
512.0,3877.0,1645998354984
512.0,3868.0,1645998354994
512.0,3859.0,1645998355004
512.0,3851.0,1645998355014
512.0,3842.0,1645998355024
512.0,3834.0,1645998355034
512.0,3825.0,1645998355044
512.0,3816.0,1645998355054
512.0,3808.0,1645998355065
512.0,3799.0,1645998355074
512.0,3790.0,1645998355081
512.0,3782.0,1645998355088
512.0,3773.0,1645998355095
512.0,3765.0,1645998355102
512.0,3756.0,1645998355109
512.0,4049.0,1645998355118
512.0,4041.0,1645998355125
512.0,4032.0,1645998355132
512.0,4023.0,1645998355139
512.0,4014.0,1645998355147
512.0,4006.0,1645998355155
512.0,3997.0,1645998355163
512.0,3989.0,1645998355170
512.0,3980.0,1645998355177
512.0,3971.0,1645998355184
512.0,3963.0,1645998355191
512.0,3954.0,1645998355198
512.0,3946.0,1645998355205
512.0,3937.0,1645998355212
512.0,3928.0,1645998355220
512.0,3920.0,1645998355226
512.0,3911.0,1645998355234
512.0,3903.0,1645998355241
512.0,3894.0,1645998355248
512.0,3885.0,1645998355255
512.0,3877.0,1645998355263
512.0,3868.0,1645998355271
512.0,3860.0,1645998355278
512.0,3851.0,1645998355286
512.0,3842.0,1645998355293
512.0,3834.0,1645998355300
512.0,3825.0,1645998355307
512.0,3817.0,1645998355314
512.0,3808.0,1645998355321
512.0,3799.0,1645998355328
512.0,3791.0,1645998355335
512.0,3782.0,1645998355342
512.0,3774.0,1645998355349
512.0,3765.0,1645998355356
512.0,3757.0,1645998355364
512.0,4050.0,1645998355372
512.0,4041.0,1645998355380
512.0,4033.0,1645998355387
512.0,4024.0,1645998355393
512.0,4016.0,1645998355400
512.0,4007.0,1645998355407
512.0,3998.0,1645998355415
512.0,3990.0,1645998355422
512.0,3981.0,1645998355429
512.0,3973.0,1645998355436
512.0,3964.0,1645998355442
512.0,3955.0,1645998355449
512.0,3946.0,1645998355456
512.0,3937.0,1645998355464
512.0,3929.0,1645998355471
512.0,3920.0,1645998355479
512.0,3911.0,1645998355486
512.0,3903.0,1645998355493
512.0,3894.0,1645998355500
512.0,3886.0,1645998355507
512.0,3877.0,1645998355514
512.0,3869.0,1645998355520
512.0,3860.0,1645998355527
512.0,3851.0,1645998355534
512.0,3843.0,1645998355541
512.0,3834.0,1645998355548
512.0,3826.0,1645998355554
512.0,3817.0,1645998355561
512.0,3808.0,1645998355569
512.0,3800.0,1645998355576
512.0,3791.0,1645998355584
512.0,3783.0,1645998355591
512.0,3774.0,1645998355599
512.0,3766.0,1645998355606
512.0,3757.0,1645998355613
512.0,4050.0,1645998355622
512.0,4042.0,1645998355629
512.0,4033.0,1645998355636
512.0,4025.0,1645998355643
512.0,4016.0,1645998355650
512.0,4007.0,1645998355657
512.0,3999.0,1645998355664
512.0,3990.0,1645998355671
512.0,3982.0,1645998355678
512.0,3973.0,1645998355685
512.0,3965.0,1645998355692
512.0,3956.0,1645998355699
512.0,3947.0,1645998355707
512.0,3939.0,1645998355714
512.0,3930.0,1645998355721
512.0,3922.0,1645998355727
512.0,3913.0,1645998355735
512.0,3905.0,1645998355741
512.0,3896.0,1645998355749
512.0,3887.0,1645998355755
512.0,3879.0,1645998355762
512.0,3870.0,1645998355769
512.0,3862.0,1645998355776
512.0,3853.0,1645998355784
512.0,3845.0,1645998355791
512.0,3836.0,1645998355798
512.0,3827.0,1645998355805
512.0,3819.0,1645998355812
